,CA_error,IMM_error,CA_RMSE,IMM_RMSE,CA_std,IMM_std,CA_perc,IMM_perc
PICK-&-PLACE,-0.00034360089977449423,-0.0002957824901931888,0.030795131989539995,0.022242776689578293,0.030778332972752724,0.022223421628495204,94.29569067762779,95.12359675001954
WALKING,-0.002922860170487904,-0.00367929448830138,0.036864929601019,0.04114686299007107,0.03658727191009655,0.04073672751958032,90.46392233044546,90.13739937843195
PASSING-BY,-0.010698837831153227,-0.009655875063158749,0.0717846735917251,0.06759051597431402,0.0706876711426578,0.06667911910895853,92.85589651418084,92.43622095090639
