,CA_error,IMM_error,CA_RMSE,IMM_RMSE,CA_std,IMM_std,CA_perc,IMM_perc
PICK-&-PLACE,0.00018092242657818754,-0.00022330719165872587,0.06426268631377657,0.04936425712339209,0.06423427196092385,0.04934663000470668,100.16622637020619,89.95951349657551
WALKING,-0.004024276918892786,-0.004332544313967138,0.07891904105505464,0.0675860430222023,0.0785969944731279,0.0671712967842131,82.4409482965739,81.53008937711724
PASSING-BY,-0.017057394039345232,-0.014772050687423157,0.11281870124740152,0.10157783921180182,0.11070559576193435,0.09989391724111449,88.25986694686861,88.825103773422
