,CA_error,IMM_error,CA_RMSE,IMM_RMSE,CA_std,IMM_std,CA_perc,IMM_perc
PICK-&-PLACE,-0.0003423471857038536,-0.0002951688867834424,0.010924435042829576,0.007724566659685136,0.010880466124729267,0.007673940406911249,98.18616128515272,98.77889342405318
WALKING,-0.00285715243628964,-0.0027811204299894483,0.013791503723106086,0.011358100014369245,0.013243368757215043,0.010730806464554599,96.48302835564363,96.02239864110055
PASSING-BY,-0.005069830094394478,-0.0048609143521512604,0.01591801799852156,0.013678982357424716,0.014669521689770476,0.012423307287474549,94.6365850486645,93.83869847104988
